Size,Price
1700,286500
1701,549000
1662,249000
1852,550000
1320,170000
1456,225000
3166,579900
1200,179000
1388,205000
3740,995000
1020,240000
2720,975000
2380,524900
2400,289900
1728,599000
1131,219000
2000,349000
1900,229900
2004,315000
1467,199000
1520,209000
2130,1290000
2300,399000
2064,370000
1460,240000
1660,159000
1594,307000
2580,279000
2400,285000
900,125000
4463,1700000
1204,165000
2523,437500
1080,239900
2193,648000
1426,324900
2039,240000
2481,850000
2357,281900
3050,399900
811,195000
2100,1045000
1487,399900
2219,598000
1217,193450
1780,269000
1000,199000
980,187900
1194,275000
1794,314000
